,_id,_is_deleted,_vehicle._congestion_level,_vehicle._current_status,_vehicle._current_stop_sequence,_vehicle._occupancy_status,_vehicle._position._bearing,_vehicle._position._latitude,_vehicle._position._longitude,_vehicle._position._odometer,_vehicle._position._speed,_vehicle._stop_id,_vehicle._timestamp,_vehicle._trip._direction_id,_vehicle._trip._route_id,_vehicle._trip._schedule_relationship,_vehicle._trip._start_date,_vehicle._trip._start_time,_vehicle._trip._trip_id,_vehicle._vehicle._id,_vehicle._vehicle._label,timestamp,start_datetime,timedelta,distancia_al_final
22,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567038,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:30:59.144160,2023-01-24 08:45:00.000000,0 days 01:45:59.144160,0.0041717235406976
23,49,False,0,2,63,0,0,-3451111,-5851259,52701,0.0,6861103985,1674567038,0.0,99,0.0,20230124,08:48:00,9922-1,8577,115-70,2023-01-24 10:30:59.144160,2023-01-24 08:48:00.000000,0 days 01:42:59.144160,0.0040686193358418
24,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567070,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:31:59.653577,2023-01-24 08:45:00.000000,0 days 01:46:59.653577,0.0041717235406976
25,49,False,0,2,63,0,0,-3451074,-58513,52750,0.0,6861103985,1674567068,0.0,99,0.0,20230124,08:48:00,9922-1,8577,115-70,2023-01-24 10:31:59.653577,2023-01-24 08:48:00.000000,0 days 01:43:59.653577,0.0044714251978552
26,15,False,0,2,65,0,0,-3463527,-5835895,50609,130555553.0,20853,1674567130,1.0,100,0.0,20230124,09:03:00,10260-1,8482,43-70,2023-01-24 10:33:00.176586,2023-01-24 09:03:00.000000,0 days 01:30:00.176586,0.0038012845407864
27,44,False,0,2,63,0,0,-3451066,-585127144,50799,1666666.0,6861103985,1674567130,0.0,99,0.0,20230124,08:33:00,9917-1,8534,86-70,2023-01-24 10:33:00.176586,2023-01-24 08:33:00.000000,0 days 02:00:00.176586,0.0045242799139741
28,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567128,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:33:00.176586,2023-01-24 08:45:00.000000,0 days 01:48:00.176586,0.0041717235406976
29,85,False,0,2,66,0,0,-3463851,-583573341,50766,7.5,207307,1674567160,1.0,100,0.0,20230124,09:03:00,10260-1,19614,46-70,2023-01-24 10:33:00.176586,2023-01-24 09:03:00.000000,0 days 01:30:00.176586,0.0017879912108265
30,15,False,0,1,66,0,0,-3463868,-583577461,51060,0.0,207307,1674567190,1.0,100,0.0,20230124,09:03:00,10260-1,8482,43-70,2023-01-24 10:34:00.799920,2023-01-24 09:03:00.000000,0 days 01:31:00.799920,0.001343856752038
31,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567190,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:34:00.799920,2023-01-24 08:45:00.000000,0 days 01:49:00.799920,0.0041717235406976
